service,src_bytes,count,srv_count,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_srv_diff_host_rate,dst_host_srv_rerror_rate
eco_i,624,72,72,0.013888888888888888,39,39,0.02564102564102564,0
eco_i,640,73,73,0.0136986301369863,40,40,0.025,0
eco_i,640,73,73,0.0136986301369863,40,40,0.025,0
eco_i,656,74,74,0.013513513513513514,41,41,0.024390243902439025,0
eco_i,656,74,74,0.013513513513513514,41,41,0.024390243902439025,0
eco_i,672,75,75,0.013333333333333334,42,42,0.023809523809523808,0
eco_i,672,75,75,0.013333333333333334,42,42,0.023809523809523808,0
eco_i,688,76,76,0.013157894736842105,43,43,0.023255813953488372,0
eco_i,688,76,76,0.013157894736842105,43,43,0.023255813953488372,0
eco_i,704,77,77,0.012987012987012988,44,44,0.022727272727272728,0
eco_i,704,77,77,0.012987012987012988,44,44,0.022727272727272728,0
eco_i,720,78,78,0.01282051282051282,45,45,0.022222222222222223,0
eco_i,720,78,78,0.01282051282051282,45,45,0.022222222222222223,0
eco_i,736,79,79,0.012658227848101266,46,46,0.021739130434782608,0
eco_i,736,79,79,0.012658227848101266,46,46,0.021739130434782608,0
eco_i,752,80,80,0.0125,47,47,0.02127659574468085,0
eco_i,752,80,80,0.0125,47,47,0.02127659574468085,0
eco_i,768,81,81,0.012345679012345678,48,48,0.020833333333333332,0
eco_i,768,81,81,0.012345679012345678,48,48,0.020833333333333332,0
eco_i,784,82,82,0.012195121951219513,49,49,0.02040816326530612,0
eco_i,784,82,82,0.012195121951219513,49,49,0.02040816326530612,0
eco_i,800,83,83,0.012048192771084338,50,50,0.02,0
eco_i,800,83,83,0.012048192771084338,50,50,0.02,0
eco_i,816,84,84,0.011904761904761904,51,51,0.0196078431372549,0
eco_i,816,84,84,0.011904761904761904,51,51,0.0196078431372549,0
eco_i,832,85,85,0.011764705882352941,52,52,0.019230769230769232,0
eco_i,832,85,85,0.011764705882352941,52,52,0.019230769230769232,0
eco_i,848,86,86,0.011627906976744186,53,53,0.018867924528301886,0
eco_i,848,86,86,0.011627906976744186,53,53,0.018867924528301886,0
eco_i,864,87,87,0.011494252873563218,54,54,0.018518518518518517,0
eco_i,864,87,87,0.011494252873563218,54,54,0.018518518518518517,0
eco_i,880,88,88,0.011363636363636364,55,55,0.01818181818181818,0
eco_i,880,88,88,0.011363636363636364,55,55,0.01818181818181818,0
eco_i,896,89,89,0.011235955056179775,56,56,0.017857142857142856,0
eco_i,896,89,89,0.011235955056179775,56,56,0.017857142857142856,0
eco_i,912,90,90,0.011111111111111112,57,57,0.017543859649122806,0
eco_i,912,90,90,0.011111111111111112,57,57,0.017543859649122806,0
eco_i,928,91,91,0.01098901098901099,58,58,0.017241379310344827,0
eco_i,928,91,91,0.01098901098901099,58,58,0.017241379310344827,0
eco_i,944,92,92,0.010869565217391304,59,59,0.01694915254237288,0
eco_i,944,92,92,0.010869565217391304,59,59,0.01694915254237288,0
eco_i,960,93,93,0.010752688172043012,60,60,0.016666666666666666,0
eco_i,960,93,93,0.010752688172043012,60,60,0.016666666666666666,0
eco_i,976,94,94,0.010638297872340425,61,61,0.01639344262295082,0
eco_i,976,94,94,0.010638297872340425,61,61,0.01639344262295082,0
eco_i,992,95,95,0.010526315789473684,62,62,0.016129032258064516,0
eco_i,992,95,95,0.010526315789473684,62,62,0.016129032258064516,0
eco_i,1008,96,96,0.010416666666666666,63,63,0.015873015873015872,0
eco_i,1008,96,96,0.010416666666666666,63,63,0.015873015873015872,0
eco_i,1024,97,97,0.010309278350515464,64,64,0.015625,0
eco_i,1024,97,97,0.010309278350515464,64,64,0.015625,0
eco_i,1040,98,98,0.01020408163265306,65,65,0.015384615384615385,0
eco_i,1040,98,98,0.01020408163265306,65,65,0.015384615384615385,0
eco_i,1056,99,99,0.010101010101010102,66,66,0.015151515151515152,0
eco_i,1056,99,99,0.010101010101010102,66,66,0.015151515151515152,0
